WARNING:root:DQN trained on Pong-v0
WARNING:root:{'LEARNING_RATE': 0.001}
WARNING:root:Episode 1480, Reward Sum -18.0.
WARNING:root:Episode 1490, Reward Sum -19.0.
WARNING:root:evaluating on 5 episodes with mean reward -18.4.
WARNING:root:Episode 1500, Reward Sum -19.0.
WARNING:root:Episode 1510, Reward Sum -20.0.
WARNING:root:Episode 1520, Reward Sum -17.0.
WARNING:root:Episode 1530, Reward Sum -20.0.
WARNING:root:Episode 1540, Reward Sum -19.0.
WARNING:root:Episode 1550, Reward Sum -21.0.
WARNING:root:Episode 1560, Reward Sum -20.0.
WARNING:root:Episode 1570, Reward Sum -17.0.
WARNING:root:Episode 1580, Reward Sum -21.0.
WARNING:root:Episode 1590, Reward Sum -19.0.
WARNING:root:evaluating on 5 episodes with mean reward -19.6.
WARNING:root:Episode 1600, Reward Sum -19.0.
WARNING:root:Episode 1610, Reward Sum -19.0.
WARNING:root:Episode 1620, Reward Sum -19.0.
WARNING:root:Episode 1630, Reward Sum -18.0.
WARNING:root:Episode 1640, Reward Sum -20.0.
WARNING:root:Episode 1650, Reward Sum -19.0.
WARNING:root:Episode 1660, Reward Sum -17.0.
WARNING:root:Episode 1670, Reward Sum -19.0.
WARNING:root:Episode 1680, Reward Sum -20.0.
WARNING:root:Episode 1690, Reward Sum -19.0.
WARNING:root:evaluating on 5 episodes with mean reward -18.4.
WARNING:root:Episode 1700, Reward Sum -16.0.
WARNING:root:Episode 1710, Reward Sum -16.0.
WARNING:root:Episode 1720, Reward Sum -15.0.
WARNING:root:Episode 1730, Reward Sum -17.0.
WARNING:root:Episode 1740, Reward Sum -21.0.
WARNING:root:Episode 1750, Reward Sum -17.0.
WARNING:root:Episode 1760, Reward Sum -16.0.
WARNING:root:Episode 1770, Reward Sum -12.0.
WARNING:root:Episode 1780, Reward Sum -18.0.
WARNING:root:Episode 1790, Reward Sum -17.0.
WARNING:root:evaluating on 5 episodes with mean reward -18.4.
WARNING:root:Episode 1800, Reward Sum -18.0.
WARNING:root:Episode 1810, Reward Sum -17.0.
WARNING:root:Episode 1820, Reward Sum -21.0.
WARNING:root:Episode 1830, Reward Sum -13.0.
WARNING:root:Episode 1840, Reward Sum -18.0.
WARNING:root:Episode 1850, Reward Sum -17.0.
WARNING:root:Episode 1860, Reward Sum -17.0.
WARNING:root:Episode 1870, Reward Sum -18.0.
WARNING:root:Episode 1880, Reward Sum -16.0.
WARNING:root:Episode 1890, Reward Sum -18.0.
WARNING:root:evaluating on 5 episodes with mean reward -17.0.
WARNING:root:Episode 1900, Reward Sum -16.0.
WARNING:root:Episode 1910, Reward Sum -16.0.
WARNING:root:Episode 1920, Reward Sum -19.0.
WARNING:root:Episode 1930, Reward Sum -19.0.
WARNING:root:Episode 1940, Reward Sum -17.0.
WARNING:root:Episode 1950, Reward Sum -11.0.
WARNING:root:Episode 1960, Reward Sum -14.0.
WARNING:root:Episode 1970, Reward Sum -19.0.
WARNING:root:Episode 1980, Reward Sum -17.0.
WARNING:root:Episode 1990, Reward Sum -13.0.
WARNING:root:evaluating on 5 episodes with mean reward -13.8.
WARNING:root:Episode 2000, Reward Sum -15.0.
WARNING:root:Episode 2010, Reward Sum -13.0.
WARNING:root:Episode 2020, Reward Sum -12.0.
WARNING:root:Episode 2030, Reward Sum -8.0.
WARNING:root:Episode 2040, Reward Sum -18.0.
WARNING:root:Episode 2050, Reward Sum -8.0.
WARNING:root:Episode 2060, Reward Sum -15.0.
WARNING:root:Episode 2070, Reward Sum -13.0.
WARNING:root:Episode 2080, Reward Sum -14.0.
WARNING:root:Episode 2090, Reward Sum -15.0.
WARNING:root:evaluating on 5 episodes with mean reward -12.8.
WARNING:root:Episode 2100, Reward Sum -15.0.
WARNING:root:Episode 2110, Reward Sum -18.0.
WARNING:root:Episode 2120, Reward Sum -18.0.
WARNING:root:Episode 2130, Reward Sum -16.0.
WARNING:root:Episode 2140, Reward Sum -13.0.
WARNING:root:Episode 2150, Reward Sum -12.0.
WARNING:root:Episode 2160, Reward Sum -13.0.
WARNING:root:Episode 2170, Reward Sum -12.0.
WARNING:root:Episode 2180, Reward Sum -16.0.
WARNING:root:Episode 2190, Reward Sum -16.0.
WARNING:root:evaluating on 5 episodes with mean reward -12.0.
WARNING:root:Episode 2200, Reward Sum -16.0.
WARNING:root:Episode 2210, Reward Sum -16.0.
WARNING:root:Episode 2220, Reward Sum -16.0.
WARNING:root:Episode 2230, Reward Sum -12.0.
WARNING:root:Episode 2240, Reward Sum -15.0.
WARNING:root:Episode 2250, Reward Sum -13.0.
WARNING:root:Episode 2260, Reward Sum -13.0.
WARNING:root:Episode 2270, Reward Sum -13.0.
WARNING:root:Episode 2280, Reward Sum -15.0.
WARNING:root:Episode 2290, Reward Sum -11.0.
WARNING:root:evaluating on 5 episodes with mean reward -14.6.
WARNING:root:Episode 2300, Reward Sum -10.0.
WARNING:root:Episode 2310, Reward Sum -13.0.
WARNING:root:Episode 2320, Reward Sum -11.0.
WARNING:root:Episode 2330, Reward Sum -12.0.
WARNING:root:Episode 2340, Reward Sum -14.0.
WARNING:root:Episode 2350, Reward Sum -13.0.
WARNING:root:Episode 2360, Reward Sum -15.0.
WARNING:root:Episode 2370, Reward Sum -15.0.
WARNING:root:Episode 2380, Reward Sum -12.0.
WARNING:root:Episode 2390, Reward Sum -11.0.
WARNING:root:evaluating on 5 episodes with mean reward -11.6.
WARNING:root:Episode 2400, Reward Sum -10.0.
WARNING:root:Episode 2410, Reward Sum -11.0.
WARNING:root:Episode 2420, Reward Sum -15.0.
WARNING:root:Episode 2430, Reward Sum -12.0.
WARNING:root:Episode 2440, Reward Sum -14.0.
WARNING:root:Episode 2450, Reward Sum -14.0.
WARNING:root:Episode 2460, Reward Sum -11.0.
WARNING:root:Episode 2470, Reward Sum -8.0.
WARNING:root:Episode 2480, Reward Sum -8.0.
WARNING:root:Episode 2490, Reward Sum -10.0.
WARNING:root:evaluating on 5 episodes with mean reward -13.6.
WARNING:root:Episode 2500, Reward Sum -8.0.
WARNING:root:Episode 2510, Reward Sum -9.0.
WARNING:root:Episode 2520, Reward Sum -6.0.
WARNING:root:Episode 2530, Reward Sum -15.0.
WARNING:root:Episode 2540, Reward Sum -15.0.
WARNING:root:Episode 2550, Reward Sum -8.0.
WARNING:root:Episode 2560, Reward Sum -18.0.
WARNING:root:Episode 2570, Reward Sum -9.0.
WARNING:root:Episode 2580, Reward Sum -8.0.
WARNING:root:Episode 2590, Reward Sum -8.0.
WARNING:root:evaluating on 5 episodes with mean reward -11.2.
WARNING:root:Episode 2600, Reward Sum -11.0.
WARNING:root:Episode 2610, Reward Sum -14.0.
WARNING:root:Episode 2620, Reward Sum -3.0.
WARNING:root:Episode 2630, Reward Sum -9.0.
WARNING:root:Episode 2640, Reward Sum -1.0.
WARNING:root:Episode 2650, Reward Sum -11.0.
WARNING:root:Episode 2660, Reward Sum -10.0.
WARNING:root:Episode 2670, Reward Sum -14.0.
WARNING:root:Episode 2680, Reward Sum -13.0.
WARNING:root:Episode 2690, Reward Sum -7.0.
WARNING:root:evaluating on 5 episodes with mean reward -14.2.
WARNING:root:Episode 2700, Reward Sum -4.0.
WARNING:root:Episode 2710, Reward Sum -13.0.
WARNING:root:Episode 2720, Reward Sum -13.0.
WARNING:root:Episode 2730, Reward Sum -9.0.
WARNING:root:Episode 2740, Reward Sum -4.0.
WARNING:root:Episode 2750, Reward Sum -11.0.
WARNING:root:Episode 2760, Reward Sum -14.0.
WARNING:root:Episode 2770, Reward Sum -13.0.
WARNING:root:Episode 2780, Reward Sum -7.0.
WARNING:root:Episode 2790, Reward Sum -14.0.
WARNING:root:evaluating on 5 episodes with mean reward -12.2.
WARNING:root:Episode 2800, Reward Sum -8.0.
WARNING:root:Episode 2810, Reward Sum -8.0.
WARNING:root:Episode 2820, Reward Sum -9.0.
WARNING:root:Episode 2830, Reward Sum -13.0.
WARNING:root:Episode 2840, Reward Sum -12.0.
WARNING:root:Episode 2850, Reward Sum -15.0.
WARNING:root:Episode 2860, Reward Sum -7.0.
WARNING:root:Episode 2870, Reward Sum -11.0.
WARNING:root:Episode 2880, Reward Sum -13.0.
WARNING:root:Episode 2890, Reward Sum -13.0.
WARNING:root:evaluating on 5 episodes with mean reward -9.2.
WARNING:root:Episode 2900, Reward Sum -13.0.
WARNING:root:Episode 2910, Reward Sum -16.0.
WARNING:root:Episode 2920, Reward Sum -13.0.
WARNING:root:Episode 2930, Reward Sum -10.0.
WARNING:root:Episode 2940, Reward Sum -10.0.
WARNING:root:Episode 2950, Reward Sum -12.0.
WARNING:root:Episode 2960, Reward Sum -12.0.
WARNING:root:Episode 2970, Reward Sum -15.0.
WARNING:root:Episode 2980, Reward Sum -10.0.
WARNING:root:Episode 2990, Reward Sum -18.0.
WARNING:root:evaluating on 5 episodes with mean reward -13.4.
WARNING:root:Episode 3000, Reward Sum -9.0.
WARNING:root:Episode 3010, Reward Sum -8.0.
WARNING:root:Episode 3020, Reward Sum -16.0.
WARNING:root:Episode 3030, Reward Sum -5.0.
WARNING:root:Episode 3040, Reward Sum -9.0.
WARNING:root:Episode 3050, Reward Sum -9.0.
WARNING:root:Episode 3060, Reward Sum -8.0.
WARNING:root:Episode 3070, Reward Sum -11.0.
WARNING:root:Episode 3080, Reward Sum -9.0.
WARNING:root:Episode 3090, Reward Sum -11.0.
WARNING:root:evaluating on 5 episodes with mean reward -11.6.
WARNING:root:Episode 3100, Reward Sum -10.0.
WARNING:root:Episode 3110, Reward Sum -11.0.
WARNING:root:Episode 3120, Reward Sum -11.0.
WARNING:root:Episode 3130, Reward Sum -12.0.
WARNING:root:Episode 3140, Reward Sum -15.0.
WARNING:root:Episode 3150, Reward Sum -10.0.
WARNING:root:Episode 3160, Reward Sum -7.0.
WARNING:root:Episode 3170, Reward Sum -15.0.
WARNING:root:Episode 3180, Reward Sum -16.0.
WARNING:root:Episode 3190, Reward Sum -13.0.
WARNING:root:evaluating on 5 episodes with mean reward -9.8.
WARNING:root:Episode 3200, Reward Sum -16.0.
WARNING:root:Episode 3210, Reward Sum -11.0.
WARNING:root:Episode 3220, Reward Sum -10.0.
WARNING:root:Episode 3230, Reward Sum -8.0.
WARNING:root:Episode 3240, Reward Sum -12.0.
WARNING:root:Episode 3250, Reward Sum -8.0.
WARNING:root:Episode 3260, Reward Sum -13.0.
WARNING:root:Episode 3270, Reward Sum -13.0.
WARNING:root:Episode 3280, Reward Sum -9.0.
WARNING:root:Episode 3290, Reward Sum -9.0.
WARNING:root:evaluating on 5 episodes with mean reward -8.6.
WARNING:root:Episode 3300, Reward Sum -7.0.
WARNING:root:Episode 3310, Reward Sum -15.0.
WARNING:root:Episode 3320, Reward Sum -9.0.
WARNING:root:Episode 3330, Reward Sum -3.0.
WARNING:root:Episode 3340, Reward Sum -13.0.
WARNING:root:Episode 3350, Reward Sum -14.0.
WARNING:root:Episode 3360, Reward Sum -12.0.
WARNING:root:Episode 3370, Reward Sum -14.0.
WARNING:root:Episode 3380, Reward Sum -12.0.
WARNING:root:Episode 3390, Reward Sum -13.0.
WARNING:root:evaluating on 5 episodes with mean reward -9.2.
WARNING:root:Episode 3400, Reward Sum -11.0.
WARNING:root:Episode 3410, Reward Sum -7.0.
WARNING:root:Episode 3420, Reward Sum -13.0.
WARNING:root:Episode 3430, Reward Sum -11.0.
WARNING:root:Episode 3440, Reward Sum -14.0.
WARNING:root:Episode 3450, Reward Sum -7.0.
WARNING:root:Episode 3460, Reward Sum -7.0.
WARNING:root:Episode 3470, Reward Sum -7.0.
WARNING:root:Episode 3480, Reward Sum -17.0.
WARNING:root:Episode 3490, Reward Sum -11.0.
WARNING:root:evaluating on 5 episodes with mean reward -10.8.
WARNING:root:Episode 3500, Reward Sum -12.0.
WARNING:root:Episode 3510, Reward Sum -11.0.
WARNING:root:Episode 3520, Reward Sum -6.0.
WARNING:root:Episode 3530, Reward Sum -6.0.
WARNING:root:Episode 3540, Reward Sum -11.0.
WARNING:root:Episode 3550, Reward Sum -9.0.
WARNING:root:Episode 3560, Reward Sum -11.0.
WARNING:root:Episode 3570, Reward Sum -5.0.
WARNING:root:Episode 3580, Reward Sum -11.0.
WARNING:root:Episode 3590, Reward Sum -13.0.
WARNING:root:evaluating on 5 episodes with mean reward -8.6.
WARNING:root:Episode 3600, Reward Sum -13.0.
WARNING:root:Episode 3610, Reward Sum -15.0.
WARNING:root:Episode 3620, Reward Sum -11.0.
WARNING:root:Episode 3630, Reward Sum -15.0.
WARNING:root:Episode 3640, Reward Sum -14.0.
WARNING:root:Episode 3650, Reward Sum -10.0.
WARNING:root:Episode 3660, Reward Sum -11.0.
WARNING:root:Episode 3670, Reward Sum -10.0.
WARNING:root:Episode 3680, Reward Sum -2.0.
WARNING:root:Episode 3690, Reward Sum -12.0.
WARNING:root:evaluating on 5 episodes with mean reward -8.2.
WARNING:root:Episode 3700, Reward Sum -15.0.
WARNING:root:Episode 3710, Reward Sum -3.0.
WARNING:root:Episode 3720, Reward Sum -12.0.
WARNING:root:Episode 3730, Reward Sum -9.0.
WARNING:root:Episode 3740, Reward Sum -10.0.
WARNING:root:Episode 3750, Reward Sum -9.0.
WARNING:root:Episode 3760, Reward Sum -9.0.
WARNING:root:Episode 3770, Reward Sum -14.0.
WARNING:root:Episode 3780, Reward Sum -15.0.
WARNING:root:Episode 3790, Reward Sum -9.0.
WARNING:root:evaluating on 5 episodes with mean reward -12.2.
WARNING:root:Episode 3800, Reward Sum -13.0.
WARNING:root:Episode 3810, Reward Sum -8.0.
WARNING:root:Episode 3820, Reward Sum -5.0.
WARNING:root:Episode 3830, Reward Sum -9.0.
WARNING:root:Episode 3840, Reward Sum -12.0.
WARNING:root:Episode 3850, Reward Sum -10.0.
WARNING:root:Episode 3860, Reward Sum -12.0.
WARNING:root:Episode 3870, Reward Sum -9.0.
WARNING:root:Episode 3880, Reward Sum -8.0.
WARNING:root:Episode 3890, Reward Sum -12.0.
WARNING:root:evaluating on 5 episodes with mean reward -4.0.
WARNING:root:Episode 3900, Reward Sum -11.0.
WARNING:root:Episode 3910, Reward Sum -12.0.
WARNING:root:Episode 3920, Reward Sum -13.0.
WARNING:root:Episode 3930, Reward Sum -12.0.
WARNING:root:Episode 3940, Reward Sum -7.0.
WARNING:root:Episode 3950, Reward Sum -7.0.
WARNING:root:Episode 3960, Reward Sum -8.0.
WARNING:root:Episode 3970, Reward Sum -10.0.
WARNING:root:Episode 3980, Reward Sum -15.0.
WARNING:root:Episode 3990, Reward Sum -9.0.
WARNING:root:evaluating on 5 episodes with mean reward -9.2.
WARNING:root:Episode 4000, Reward Sum -13.0.
WARNING:root:Episode 4010, Reward Sum -7.0.
WARNING:root:Episode 4020, Reward Sum -12.0.
WARNING:root:Episode 4030, Reward Sum -6.0.
WARNING:root:Episode 4040, Reward Sum -13.0.
WARNING:root:Episode 4050, Reward Sum -12.0.
WARNING:root:Episode 4060, Reward Sum -5.0.
WARNING:root:Episode 4070, Reward Sum -11.0.
WARNING:root:Episode 4080, Reward Sum -8.0.
WARNING:root:Episode 4090, Reward Sum -9.0.
WARNING:root:evaluating on 5 episodes with mean reward -7.8.
WARNING:root:Episode 4100, Reward Sum -13.0.
WARNING:root:Episode 4110, Reward Sum -7.0.
WARNING:root:Episode 4120, Reward Sum -11.0.
WARNING:root:Episode 4130, Reward Sum -5.0.
WARNING:root:Episode 4140, Reward Sum -11.0.
WARNING:root:Episode 4150, Reward Sum -5.0.
WARNING:root:Episode 4160, Reward Sum -13.0.
WARNING:root:Episode 4170, Reward Sum -12.0.
WARNING:root:Episode 4180, Reward Sum -11.0.
WARNING:root:Episode 4190, Reward Sum -13.0.
WARNING:root:evaluating on 5 episodes with mean reward -11.0.
WARNING:root:Episode 4200, Reward Sum -8.0.
WARNING:root:Episode 4210, Reward Sum -14.0.
WARNING:root:Episode 4220, Reward Sum -14.0.
WARNING:root:Episode 4230, Reward Sum -14.0.
WARNING:root:Episode 4240, Reward Sum -8.0.
WARNING:root:Episode 4250, Reward Sum -15.0.
WARNING:root:Episode 4260, Reward Sum -10.0.
WARNING:root:Episode 4270, Reward Sum -15.0.
WARNING:root:Episode 4280, Reward Sum -12.0.
WARNING:root:Episode 4290, Reward Sum -10.0.
WARNING:root:evaluating on 5 episodes with mean reward -12.6.
WARNING:root:Episode 4300, Reward Sum -13.0.
WARNING:root:Episode 4310, Reward Sum -7.0.
WARNING:root:Episode 4320, Reward Sum -14.0.
