WARNING:root:DQN trained on MountainCar-v0
WARNING:root:train episode 203 : reward -108.0, steps 108
WARNING:root:train episode 204 : reward -200.0, steps 200
WARNING:root:train episode 205 : reward -200.0, steps 200
WARNING:root:train episode 206 : reward -192.0, steps 192
WARNING:root:train episode 207 : reward -185.0, steps 185
WARNING:root:train episode 208 : reward -127.0, steps 127
WARNING:root:train episode 209 : reward -200.0, steps 200
WARNING:root:train episode 210 : reward -200.0, steps 200
WARNING:root:train episode 211 : reward -200.0, steps 200
WARNING:root:train episode 212 : reward -198.0, steps 198
WARNING:root:train episode 213 : reward -195.0, steps 195
WARNING:root:train episode 214 : reward -200.0, steps 200
WARNING:root:train episode 215 : reward -200.0, steps 200
WARNING:root:train episode 216 : reward -179.0, steps 179
WARNING:root:train episode 217 : reward -199.0, steps 199
WARNING:root:train episode 218 : reward -200.0, steps 200
WARNING:root:train episode 219 : reward -200.0, steps 200
WARNING:root:train episode 220 : reward -200.0, steps 200
WARNING:root:train episode 221 : reward -144.0, steps 144
WARNING:root:train episode 222 : reward -122.0, steps 122
WARNING:root:train episode 223 : reward -200.0, steps 200
WARNING:root:train episode 224 : reward -160.0, steps 160
WARNING:root:train episode 225 : reward -200.0, steps 200
WARNING:root:train episode 226 : reward -200.0, steps 200
WARNING:root:train episode 227 : reward -200.0, steps 200
WARNING:root:train episode 228 : reward -200.0, steps 200
WARNING:root:train episode 229 : reward -200.0, steps 200
WARNING:root:train episode 230 : reward -200.0, steps 200
WARNING:root:train episode 231 : reward -192.0, steps 192
WARNING:root:train episode 232 : reward -200.0, steps 200
WARNING:root:train episode 233 : reward -200.0, steps 200
WARNING:root:train episode 234 : reward -183.0, steps 183
WARNING:root:train episode 235 : reward -151.0, steps 151
WARNING:root:train episode 236 : reward -200.0, steps 200
WARNING:root:train episode 237 : reward -93.0, steps 93
WARNING:root:train episode 238 : reward -200.0, steps 200
WARNING:root:train episode 239 : reward -175.0, steps 175
WARNING:root:train episode 240 : reward -153.0, steps 153
WARNING:root:train episode 241 : reward -120.0, steps 120
WARNING:root:train episode 242 : reward -200.0, steps 200
WARNING:root:train episode 243 : reward -152.0, steps 152
WARNING:root:train episode 244 : reward -200.0, steps 200
WARNING:root:train episode 245 : reward -200.0, steps 200
WARNING:root:train episode 246 : reward -125.0, steps 125
WARNING:root:train episode 247 : reward -101.0, steps 101
WARNING:root:train episode 248 : reward -200.0, steps 200
WARNING:root:train episode 249 : reward -200.0, steps 200
WARNING:root:train episode 250 : reward -200.0, steps 200
WARNING:root:train episode 251 : reward -178.0, steps 178
WARNING:root:evaluate 5 episodes : e_greedy 0.05292899999995293, reward -200.0
WARNING:root:train episode 252 : reward -179.0, steps 179
WARNING:root:train episode 253 : reward -200.0, steps 200
WARNING:root:train episode 254 : reward -196.0, steps 196
WARNING:root:train episode 255 : reward -99.0, steps 99
WARNING:root:train episode 256 : reward -200.0, steps 200
WARNING:root:train episode 257 : reward -106.0, steps 106
WARNING:root:train episode 258 : reward -176.0, steps 176
WARNING:root:train episode 259 : reward -126.0, steps 126
WARNING:root:train episode 260 : reward -200.0, steps 200
WARNING:root:train episode 261 : reward -175.0, steps 175
WARNING:root:train episode 262 : reward -183.0, steps 183
WARNING:root:train episode 263 : reward -187.0, steps 187
WARNING:root:train episode 264 : reward -200.0, steps 200
WARNING:root:train episode 265 : reward -89.0, steps 89
WARNING:root:train episode 266 : reward -195.0, steps 195
WARNING:root:train episode 267 : reward -200.0, steps 200
WARNING:root:train episode 268 : reward -156.0, steps 156
WARNING:root:train episode 269 : reward -132.0, steps 132
WARNING:root:train episode 270 : reward -200.0, steps 200
WARNING:root:train episode 271 : reward -200.0, steps 200
WARNING:root:train episode 272 : reward -200.0, steps 200
WARNING:root:train episode 273 : reward -149.0, steps 149
WARNING:root:train episode 274 : reward -101.0, steps 101
WARNING:root:train episode 275 : reward -165.0, steps 165
WARNING:root:train episode 276 : reward -88.0, steps 88
WARNING:root:train episode 277 : reward -178.0, steps 178
WARNING:root:train episode 278 : reward -200.0, steps 200
WARNING:root:train episode 279 : reward -152.0, steps 152
WARNING:root:train episode 280 : reward -200.0, steps 200
WARNING:root:train episode 281 : reward -171.0, steps 171
WARNING:root:train episode 282 : reward -200.0, steps 200
WARNING:root:train episode 283 : reward -200.0, steps 200
WARNING:root:train episode 284 : reward -200.0, steps 200
WARNING:root:train episode 285 : reward -200.0, steps 200
WARNING:root:train episode 286 : reward -200.0, steps 200
WARNING:root:train episode 287 : reward -143.0, steps 143
WARNING:root:train episode 288 : reward -179.0, steps 179
WARNING:root:train episode 289 : reward -200.0, steps 200
WARNING:root:train episode 290 : reward -200.0, steps 200
WARNING:root:train episode 291 : reward -200.0, steps 200
WARNING:root:train episode 292 : reward -141.0, steps 141
WARNING:root:train episode 293 : reward -130.0, steps 130
WARNING:root:train episode 294 : reward -200.0, steps 200
WARNING:root:train episode 295 : reward -200.0, steps 200
WARNING:root:train episode 296 : reward -178.0, steps 178
WARNING:root:train episode 297 : reward -188.0, steps 188
WARNING:root:train episode 298 : reward -200.0, steps 200
WARNING:root:train episode 299 : reward -200.0, steps 200
WARNING:root:train episode 300 : reward -176.0, steps 176
WARNING:root:train episode 301 : reward -200.0, steps 200
WARNING:root:evaluate 5 episodes : e_greedy 0.04419099999994419, reward -149.0
WARNING:root:train episode 302 : reward -200.0, steps 200
WARNING:root:train episode 303 : reward -156.0, steps 156
WARNING:root:train episode 304 : reward -200.0, steps 200
WARNING:root:train episode 305 : reward -163.0, steps 163
WARNING:root:train episode 306 : reward -187.0, steps 187
WARNING:root:train episode 307 : reward -200.0, steps 200
WARNING:root:train episode 308 : reward -127.0, steps 127
WARNING:root:train episode 309 : reward -191.0, steps 191
WARNING:root:train episode 310 : reward -161.0, steps 161
WARNING:root:train episode 311 : reward -196.0, steps 196
WARNING:root:train episode 312 : reward -138.0, steps 138
WARNING:root:train episode 313 : reward -159.0, steps 159
WARNING:root:train episode 314 : reward -155.0, steps 155
WARNING:root:train episode 315 : reward -169.0, steps 169
WARNING:root:train episode 316 : reward -181.0, steps 181
WARNING:root:train episode 317 : reward -170.0, steps 170
WARNING:root:train episode 318 : reward -107.0, steps 107
WARNING:root:train episode 319 : reward -200.0, steps 200
WARNING:root:train episode 320 : reward -200.0, steps 200
WARNING:root:train episode 321 : reward -109.0, steps 109
WARNING:root:train episode 322 : reward -200.0, steps 200
WARNING:root:train episode 323 : reward -89.0, steps 89
WARNING:root:train episode 324 : reward -98.0, steps 98
WARNING:root:train episode 325 : reward -189.0, steps 189
WARNING:root:train episode 326 : reward -188.0, steps 188
