WARNING:root:DQN trained on CartPole-v0
WARNING:root:{'LEARN_FREQ': 3, 'MEMORY_SIZE': 20000, 'MEMORY_WARMUP_SIZE': 300, 'BATCH_SIZE': 64, 'LEARNING_RATE': 0.001, 'GAMMA': 0.99, 'E_GREEDY': 0.1, 'E_GREEDY_DECREMENT': 1e-06, 'max_episode': 1000}
WARNING:root:train episode 193 : reward 9.0, steps 9
WARNING:root:train episode 194 : reward 11.0, steps 11
WARNING:root:train episode 195 : reward 11.0, steps 11
WARNING:root:train episode 196 : reward 9.0, steps 9
WARNING:root:train episode 197 : reward 10.0, steps 10
WARNING:root:train episode 198 : reward 10.0, steps 10
WARNING:root:train episode 199 : reward 9.0, steps 9
WARNING:root:train episode 200 : reward 11.0, steps 11
WARNING:root:train episode 201 : reward 11.0, steps 11
WARNING:root:evaluate 5 episodes : e_greedy 0.09768499999999769, reward 9.0
WARNING:root:train episode 202 : reward 9.0, steps 9
WARNING:root:train episode 203 : reward 11.0, steps 11
WARNING:root:train episode 204 : reward 9.0, steps 9
WARNING:root:train episode 205 : reward 9.0, steps 9
WARNING:root:train episode 206 : reward 10.0, steps 10
WARNING:root:train episode 207 : reward 9.0, steps 9
WARNING:root:train episode 208 : reward 9.0, steps 9
WARNING:root:train episode 209 : reward 9.0, steps 9
WARNING:root:train episode 210 : reward 9.0, steps 9
WARNING:root:train episode 211 : reward 13.0, steps 13
WARNING:root:train episode 212 : reward 12.0, steps 12
WARNING:root:train episode 213 : reward 11.0, steps 11
WARNING:root:train episode 214 : reward 9.0, steps 9
WARNING:root:train episode 215 : reward 9.0, steps 9
WARNING:root:train episode 216 : reward 8.0, steps 8
WARNING:root:train episode 217 : reward 10.0, steps 10
WARNING:root:train episode 218 : reward 12.0, steps 12
WARNING:root:train episode 219 : reward 10.0, steps 10
WARNING:root:train episode 220 : reward 9.0, steps 9
WARNING:root:train episode 221 : reward 9.0, steps 9
WARNING:root:train episode 222 : reward 10.0, steps 10
WARNING:root:train episode 223 : reward 9.0, steps 9
WARNING:root:train episode 224 : reward 13.0, steps 13
WARNING:root:train episode 225 : reward 10.0, steps 10
WARNING:root:train episode 226 : reward 11.0, steps 11
WARNING:root:train episode 227 : reward 10.0, steps 10
WARNING:root:train episode 228 : reward 10.0, steps 10
WARNING:root:train episode 229 : reward 9.0, steps 9
WARNING:root:train episode 230 : reward 10.0, steps 10
WARNING:root:train episode 231 : reward 11.0, steps 11
WARNING:root:train episode 232 : reward 11.0, steps 11
WARNING:root:train episode 233 : reward 9.0, steps 9
WARNING:root:train episode 234 : reward 8.0, steps 8
WARNING:root:train episode 235 : reward 10.0, steps 10
WARNING:root:train episode 236 : reward 9.0, steps 9
WARNING:root:train episode 237 : reward 10.0, steps 10
WARNING:root:train episode 238 : reward 10.0, steps 10
WARNING:root:train episode 239 : reward 9.0, steps 9
WARNING:root:train episode 240 : reward 9.0, steps 9
WARNING:root:train episode 241 : reward 11.0, steps 11
WARNING:root:train episode 242 : reward 8.0, steps 8
WARNING:root:train episode 243 : reward 10.0, steps 10
WARNING:root:train episode 244 : reward 13.0, steps 13
WARNING:root:train episode 245 : reward 11.0, steps 11
WARNING:root:train episode 246 : reward 8.0, steps 8
WARNING:root:train episode 247 : reward 9.0, steps 9
WARNING:root:train episode 248 : reward 11.0, steps 11
WARNING:root:train episode 249 : reward 17.0, steps 17
WARNING:root:train episode 250 : reward 12.0, steps 12
WARNING:root:train episode 251 : reward 12.0, steps 12
WARNING:root:evaluate 5 episodes : e_greedy 0.09717899999999718, reward 14.0
WARNING:root:train episode 252 : reward 12.0, steps 12
WARNING:root:train episode 253 : reward 12.0, steps 12
WARNING:root:train episode 254 : reward 26.0, steps 26
WARNING:root:train episode 255 : reward 20.0, steps 20
WARNING:root:train episode 256 : reward 12.0, steps 12
WARNING:root:train episode 257 : reward 22.0, steps 22
WARNING:root:train episode 258 : reward 16.0, steps 16
WARNING:root:train episode 259 : reward 14.0, steps 14
WARNING:root:train episode 260 : reward 10.0, steps 10
WARNING:root:train episode 261 : reward 9.0, steps 9
WARNING:root:train episode 262 : reward 28.0, steps 28
WARNING:root:train episode 263 : reward 14.0, steps 14
WARNING:root:train episode 264 : reward 28.0, steps 28
WARNING:root:train episode 265 : reward 14.0, steps 14
WARNING:root:train episode 266 : reward 37.0, steps 37
WARNING:root:train episode 267 : reward 39.0, steps 39
WARNING:root:train episode 268 : reward 37.0, steps 37
WARNING:root:train episode 269 : reward 19.0, steps 19
WARNING:root:train episode 270 : reward 15.0, steps 15
WARNING:root:train episode 271 : reward 16.0, steps 16
WARNING:root:train episode 272 : reward 20.0, steps 20
WARNING:root:train episode 273 : reward 28.0, steps 28
WARNING:root:train episode 274 : reward 10.0, steps 10
WARNING:root:train episode 275 : reward 36.0, steps 36
WARNING:root:train episode 276 : reward 19.0, steps 19
WARNING:root:train episode 277 : reward 13.0, steps 13
WARNING:root:train episode 278 : reward 25.0, steps 25
WARNING:root:train episode 279 : reward 17.0, steps 17
WARNING:root:train episode 280 : reward 16.0, steps 16
WARNING:root:train episode 281 : reward 17.0, steps 17
WARNING:root:train episode 282 : reward 30.0, steps 30
WARNING:root:train episode 283 : reward 21.0, steps 21
WARNING:root:train episode 284 : reward 23.0, steps 23
WARNING:root:train episode 285 : reward 21.0, steps 21
WARNING:root:train episode 286 : reward 63.0, steps 63
